Pressure (kg/cm2),Differential Pressure,T1,T2,T3,Flow(nm3/hr),Syngas Comp RPM,% Of H2,% of N2,% of CH4,% of Ammonia ,% of Ar,Target
190,5,516,463,464,360000,11802,61.5,24.57,7.46,3.2,3.27,0
190,4.9,518,465,466,360000,11725,62.48,23.72,7.34,3.2,3.26,0
185,4.6,516,463,464,358000,11725,62.94,23.46,7.15,3.21,3.24,0
190,5,517,464,465,365000,11802,61.27,24.99,7.3,3.18,3.26,0
190,4.9,518,465,466,365000,11802,62.75,23.32,7.43,3.22,3.28,0
190,5.1,517,464,465,365000,11801,61.71,24.61,7.27,3.2,3.21,0
190,5,518,465,465,365000,11801,60.96,25.63,7.06,3.1,3.25,0
190,5.1,517,464,464,365000,11802,61.21,25.01,7.41,3.15,3.22,0
192,5,519,465,466,360000,11802,62.86,23.29,7.39,3.2,3.26,0
190,4.8,519,464,465,360000,11725,63.71,22.33,7.21,3.5,3.25,0
190,4.5,518,464,465,360000,11725,64.21,21.72,7.35,3.48,3.24,0
190,4.6,518,464,465,360000,11725,63.26,22.78,7.25,3.45,3.26,0
190,4.8,518,465,466,360000,11725,62.38,23.77,7.14,3.47,3.24,0
190,5.2,517,464,465,360000,11801,61.09,24.91,7.3,3.44,3.26,0
192,5.2,517,464,465,365000,11802,61.14,24.85,7.26,3.5,3.25,0
195,5.5,519,467,467,370000,11802,60.73,25.01,7.39,3.6,3.27,0
198,5.6,519,467,467,370000,11802,60.98,24.61,7.56,3.57,3.28,0
195,5.2,518,466,466,366000,11802,62.9,22.52,7.7,3.61,3.27,0
195,5.1,518,465,466,365000,11801,64.3,21.73,7.2,3.55,3.22,0
195,5,518,464,465,365000,11801,61.96,23.86,7.35,3.56,3.27,0
195,5,518,465,466,365000,11801,62,23.58,7.57,3.59,3.26,0
185,5.1,521,468,468,355000,11880,62.31,23.15,7.24,3.6,3.7,0
190,5.1,518,466,466,360000,11880,62.11,23.01,7.61,3.59,3.68,0
200,5.5,518,466,466,365000,11881,61.75,22.97,7.9,3.6,3.78,1
200,5.5,518,466,465,365000,11881,61.19,23.94,7.57,3.56,3.74,1
200,5.5,519,465,466,365000,11881,62.43,22.4,7.82,3.6,3.75,1
190,5.6,519,467,467,365000,11881,63.11,22.25,7.3,3.58,3.76,0
200,5.5,519,466,467,370000,11881,62.09,22.99,7.42,3.6,3.9,1
200,5.3,519,467,468,370000,11881,62.3,22.74,7.5,3.58,3.88,1
198,5,518,464,465,370000,11881,63.4,21.51,7.6,3.59,3.9,0
198,5.5,517,464,465,370000,11881,60.55,24.36,7.62,3.6,3.87,0
198,5.4,518,465,466,370000,11881,61.84,23.11,7.55,3.5,4,0
200,5.6,518,465,466,370000,11881,60.9,24.07,7.6,3.48,3.95,1
200,5.4,517,465,465,370000,11880,61.73,23.6,7.34,3.45,3.88,1
195,5.2,518,464,465,365000,11880,62.25,22.93,7.74,3.42,3.66,0
195,5,517,464,465,365000,11880,61.57,23.62,7.4,3.46,3.95,0
198,5,519,464,464,365000,11880,63.67,21.37,7.5,3.5,3.96,0
191,5,520,466,467,365000,11880,62.72,22.31,7.57,3.6,3.8,0
193,5,520,466,467,365000,11880,62.31,22.69,7.64,3.58,3.78,0
195,5.3,520,466,467,365000,11880,61.82,23.16,7.76,3.48,3.78,0
196,5.5,517,465,466,365000,11880,60.96,24.1,7.72,3.45,3.77,0
192,5.5,517,466,467,365000,11880,60.37,25.04,7.37,3.42,3.8,0
200,5.5,518,466,467,370000,11958,61.91,23.55,7.54,3.4,3.6,1
196,5.5,518,465,466,365000,11802,61.39,24.12,7.48,3.4,3.61,0
198,5.4,517,466,467,365000,11802,60.9,24.72,7.4,3.38,3.6,0
197,5.3,517,466,466,365000,11801,61.3,24.3,7.5,3.35,3.55,0
191,5.1,518,465,466,365000,11880,62.37,23.62,7.31,3.2,3.5,0
200,5.5,519,466,467,370000,11958,62.04,23.24,7.62,3.5,3.6,1
200,5.7,519,466,467,370000,11958,61.3,24.25,7.5,3.4,3.55,1
200,5.9,518,465,466,370000,11658,59.76,26.36,6.96,3.38,3.54,1
200,5.7,519,466,467,370000,11958,61.31,24.26,7.51,3.39,3.55,1
195,5,517,464,465,365000,11880,61.56,23.62,7.41,3.46,3.96,0
190,5,517,464,465,365000,11802,61.27,24.96,7.27,3.19,3.27,0
190,5.1,517,464,464,365000,11802,61.2,25.01,7.41,3.16,3.22,0
190,4.9,518,465,466,360000,11725,62.46,23.72,7.34,3.22,3.27,0
200,5.5,519,466,467,370000,11958,62.04,23.24,7.63,3.51,3.61,1
190,5,518,465,465,365000,11801,60.96,25.63,7.07,3.09,3.26,0
200,5.5,519,466,467,370000,11881,62.12,23,7.43,3.6,3.91,1
185,5.1,521,468,468,355000,11880,62.31,23.13,7.25,3.59,3.69,0
